"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"deviance" 8706.29682599241 2.8715248069712 8702.64509141497 8704.17776785191 8705.64607433111 8707.74843640693 8713.50023826052 1.00727115307166 480
"k" 0.250772213696735 0.00990534311671699 0.231816807814416 0.243703794018695 0.25063055021374 0.257813068810819 0.270101997777373 1.0061287070845 560
"l.inf" 89.0939857002847 0.805994794313401 87.6132891640598 88.5046259500203 89.0738591790386 89.6453586534795 90.7417050452583 1.00547084580646 530
"length.pred[1]" 29.7943541406368 1.92228145346109 26.1940799087024 28.4702673840042 29.7388834948976 31.0653349162716 33.7284477105461 1.00122639875793 7200
"length.pred[2]" 42.9344013272553 2.51278715584077 38.1939640252363 41.2128911210793 42.8508045642902 44.5684667543268 48.1083681065325 1.00107866072882 15000
"length.pred[3]" 53.1972829470514 3.09384150527028 47.359521935168 51.0691099472233 53.1016814450069 55.2461302218062 59.5601361050126 1.00112407332275 11000
"length.pred[4]" 61.1114564342694 3.56374112568935 54.3657903764107 58.6656723285949 61.0363385429907 63.4516642535258 68.3550743339027 1.0010525049146 19000
"length.pred[5]" 67.2984647628016 3.91111239218114 59.9381753671998 64.6010649977859 67.2112687818601 69.9043310966671 75.2752497937142 1.00095428356049 30000
"length.pred[6]" 72.1298298165471 4.16953499204777 64.3410787175338 69.2654674675701 71.9850677982956 74.8573475273448 80.7448173084 1.00098230254367 30000
"length.pred[7]" 75.894694680932 4.4190708153984 67.6743830441114 72.8527675496572 75.7429017816452 78.8115522854183 84.8506476497532 1.00095557523809 30000
"length.pred[8]" 78.8293819698611 4.57411435002016 70.2292362891183 75.6785628612101 78.7153198118153 81.8351375172425 88.0649032138194 1.00107264069073 16000
"length.pred[9]" 81.1578050565479 4.72615435347558 72.2854507758694 77.9103539877823 81.0456738278053 84.2656546950922 90.7774637680006 1.00112948568283 11000
"length.pred[10]" 82.884866041012 4.80347773318617 73.85775811772 79.5743357236852 82.719247890733 86.0229213015798 92.7635627097723 1.00105141974849 19000
"length.pred[11]" 84.2370552777303 4.91837858941995 75.0035080640889 80.8837752058354 84.0653683225487 87.4650628056877 94.2116668492992 1.00105227820725 19000
"length.pred[12]" 85.3024748519178 4.96812879150779 76.0917367677112 81.844849786029 85.1408784048587 88.570817838191 95.4288956696941 1.00096756903501 30000
"length.pred[13]" 86.1231817691969 5.03175049177627 76.621661351878 82.6625528667092 86.0279078678083 89.4609112862882 96.3015402223739 1.00099887905456 30000
"length.pred[14]" 86.860881399308 5.05721678189667 77.3651881378812 83.4090350962928 86.7275681833282 90.1819583817878 97.0952862228954 1.00107326388578 16000
"length.pred[15]" 87.2888651976863 5.07289621208751 77.7675694090602 83.821982391464 87.1345447403373 90.5946878499315 97.6543066830936 1.00098578919027 30000
"length.pred[16]" 87.7597242634605 5.09502475513653 78.1379460917595 84.2575271060072 87.6080416944808 91.1218640059889 98.0621811888021 1.00106254787921 18000
"length.pred[17]" 87.9685543275317 5.18836228405177 78.1997523208031 84.4118446846208 87.8314612461607 91.3427685684107 98.6887727239021 1.00100030547691 30000
"length.pred[18]" 88.2312595988781 5.17226568843162 78.5181878238501 84.6390151884549 88.116326885011 91.5864030361311 98.8126406382058 1.00121070490118 7600
"length.pred[19]" 88.4400679916138 5.19066820260587 78.7718786544717 84.8423168569534 88.2736729501694 91.8296101338886 99.1051419514119 1.00109614699521 14000
"length.pred[20]" 88.5493428462833 5.15169631837279 78.8027643040624 85.0199843187553 88.4203635811618 91.9293973621883 99.0612741632249 1.00104493597523 21000
"length.pred[21]" 88.6657376046562 5.1496724847053 78.9995098436806 85.1444776256963 88.5322380342767 92.0523558422603 99.0813993332785 1.00134752855227 5000
"sd.log.length" 0.0579227770301487 0.00105091371238225 0.055912204673014 0.0572103541882402 0.0579071219987918 0.0586235863086496 0.0600402457568244 1.00111833076337 12000
"t0" -1.6279821477006 0.103242113216357 -1.83335192821585 -1.69790052812434 -1.62480296328665 -1.55584658934138 -1.43544859117023 1.00631677208649 740
